Title,Price,Sold,Reviews,Condition,Item Width,Energy Efficiency Rating,Tank Capacity,Energy Efficiency Ratio (EER),Item Length,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Power Source,Number of Heat Settings,MPN,Year Manufactured,Material,Item Depth,Heating Element Format,Colour,Brand,Heating Element Material,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Area Covered,Features,Mounting Location,Operating Sound Rating,Power,UPC,Color,Cable Length,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,Location,ISBN,Timer Control,Power (W),Unit Type,Design,Voltage Supply,Energy Star,Package Contents,Custom Bundle,Modified Item,Style,Recommended Environment,Room,Heating Wattage,Unit Quantity,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,For Use With,Item Height,Country of Origin,Tonnage,Function,Heating Element,Installation,Number of Speed Settings,Plug Type,Size,SKU,Temperature Range,Timing Time,Use,Weight,Wind Speed,Application,Area Heated,Certification,Colors,Electric Heater Type,Width,Manufacturer,Item Weight,Smart Home Compatibility,Manufacturer Color,Heating BTU,Air Direction,Current Rating,Tube Size,Applications 1,Applications 2,Applications 3,Product Name,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Function3,Function4,Function5,Function6,Function7,Function8,Origin,Power Mode,Volume,Function1,Function2,Heating Method,Item Dimensions LxWxH,Heat Output,Wind Mode,Heater Size,ProductType,Prop65_fl,Prop65Warning,Heater Style,Power Type,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Number of Cool Speeds,Compressor Type,Length,Height,Heating appliance type,Operation mode,Rated voltage,Speed adjustment gear,Temperature setting,Timing function,Voltage (V),Air supply mode,Key Word,Key Word 2,Key Word 3,Key Word 4,Refrigerant,Video of unit turned on,ProductGroup,Battery Included,Bundle Description,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Motor Type,SHIPPING,RETURN,ITEM LOCATION,International buyers,Department,Binding,Studio,Publisher,ProductTypeName,PackageQuantity,NumberOfItems,Label,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Voltage:,Application area:,Model No.,Item model number,Product Dimensions,manufacturer_part_number,Shape,Dimension(ID*H),Power Tolerance,Product Weight (lb.),Power/Fuel Type,Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Cord Length (in.),Heating Technology Type,Amperage (amps),Room Size,Portable Heater Features,Certifications and Listings,Product Height (in.),Voltage (volts),Temperature,Wire Length,Function 1,Function 2,BTU Cooling Rating,Contents of the package,Power:,Gift,news,Offer,STORE,Refund,Return,Quality,Handling,Money Back,Ships from,cancel order ?,add to watchlist,orders outside USA,How to get great offer ?,Batteries Required?,Package Dimensions,Shipping Weight,item_width,item_length,Domestic Shipping,Size Type,Item name,Rated power,Power cord length,New Title,Assembled Width (in),Firebox Width (in),Assembled Height (in),Area Heated (Sq Ft),Power Connection,Mount Type,Color Family,Firebox Height (in),Included,Product Weight (lb),Assembled Depth (in),Firebox Depth (in),Heat Output (BTU/hour),Surround Material,Assembly Required,Total BTU,Heating Wire Material,Adjustable temperature,Applicable Area,Time Setting,Dimensions
Lasko Electric Utility Space Heater Adjustable Thermostat Dial Controlled 1500-W,49.53,30-day returns,"['This little heater really puts out the heat. Heats our whole camper with ease and takes the chill out of the house so we don’t have to put the heat on too early in the season. I also don’t see too much of an effect on the electric bill.', ""Well built space heater.  I'm running two in my shop, the adjustable thermostat works great."", 'great little heater...compact size...well made....works good', 'This lil heater is amazing - Awesome deal - love it ', 'Works great thankyou', 'good product']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",8.75 in,,,,,,,0046013769961,Electric,2 Heat and 1 Fan,CU12110,,Plastic,,,,Lasko,,,Space Heater,Rotary Knob,,120 V,Lasko CU12110,251-300 sq ft,Thermostat,Desk/Tabletop,,1001-1500 W,0046013769961,Black/Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duraflame 1500-Watt Infrared Quartz Cabinet Electric Space Heater  No Remote,49.95, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",14 in,,,,16 In,,,,Electric,Variable,,2014,"Wood, Steel",16 in,Coil,,Duraflame,Steel,5000-5999 BTU,Portable Heater,"Push Button, Digital",Infrared,120 V,Duraflame 9HM9126,951-1000 sq ft,"Auto Shut-off, Timer","Floor, Cabinet",None,1001-1500 W,,Coffee Brown,,Infrared,,,,,,,,,,5 Stars,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000-5999 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TaoTronics TT-HE008 1500W 24"" Oscillating Portable Space Heater w/Remote Control",49.95,Last item available, ,,30 in,,,,,,,,"Electric, Fan",,Does Not Apply,,Ceramic,,,,TaoTronics,,,Portable Heater,"Digital, Remote Control",Radiant,120 V,TT-HE008,,"Auto Shut-off, Oscillation",Floor,,1500 W,Does not apply,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Portable Electric Space Heater 800W/400W/Natural Wind, PTC Fast Heating Pink",48.94,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Does Not Apply,,,Does Not Apply,,,,,,Does Not Apply,,,,,,,M7,,,,,,Does Not Apply,Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitchen,,,,,,,,,,,,,,,,,SPACE_HEATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Oscillating Electric Style Ceramic Space Heater with Remote Control,48.09, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,07445005118139,,,6435,,,,,,Lasko,,,,,,,6435,,,,,,7445049660618,Does not apply,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electric,3 lbs,8.25 x 3.00 x 16.05 Inches,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Ceramic Electric Oscillating-Fan Heater Adjustable Thermostat Indoor,49.19, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,NA,,,Does not apply,,,,,,,,,,313035937921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protemp Propane Radiant Tank-Top Heater 16,000 BTU's - Model PT-16-TTC",45.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",na,,na,na,na,,na,,Propane,na,PT-32-TTC,,na,na,na,,Protemp,na,"up to 30,000",tank-top heater,na,Radiant,na,PT-32-TTC,na,na,na,na,na,0657888110347,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Cadet 72” Electric Baseboard Heater Heating 1500W White 240 V,49.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,1,"CADET6F15001W, 5536, 05536",,Steel,,,,Cadet,,,Baseboard Heater,,Convection,240 V,Cadet Electric Baseboard 6F1500,,,Wall,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kismile Small Space Heater Electric Portable Heater Fan for Home and Office Cera,47.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Corded Electric,,,,,,,,Does not apply,,,Does not apply,,,,,,,,,,313056452427,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1 Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convection,,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Space Heater & Air Circulator 2 In 1 – Portable Electric Fan & Heater Combo,48.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,"Electric, Fan",,,2021,Ceramic,,,,Brison,,,Portable Heater,,Convection,120 V,,,,"Desk/Tabletop, Floor, Wall",,1500,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Pelonis 1500W Portable Ceramic Disc Furnace Heater,49.95,30-day returns,"[""First impression is: it's HEAVY. I like heavy. 90% of the space heaters on the market are flimsy units with cheap thermostats that burn out in a year because they're constantly kicking on &amp; off. The Pelonis is a ceramic design which appears much more durable. The control knobs turn smoothly - no shortcuts were taken with parts. Best for rooms where you want to maintain a constant temperature, but it doesn't mind being cranked up either.If you have to shut it off, I recommend switching to FAN for a few minutes as a cool-down cycle.I got my first Pelonis brand-new in the box for $5 at a yard sale. I knew I needed to get another!"", 'The original pelonis heater I had last 32 years. I bought another one identical to the original. ', 'Great heater...this is the second one I own...', 'It’s working. All that matters.', 'Works great!', 'excellent thank you']","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,,,,Electric,,,1989,Ceramic,,,,Pelonis,,,Ceramic,,Furnace,120 V,1500W,,"Automatic Shut-Off, Enclosed Motor, Portable",,Moderate,,Does not apply,Brown,,,Taiwan,,"Bathroom, Bedroom, Garage, Office, Shop, Portable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK 500W 220V Portable Electric Space Heater Fan Air Heating Warmer Home  ❥ T,49.97,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,,HOK9966696,,TPC,,,Orange,Unbranded,,,Air Heater,Switch,Forced Air/Fan,,Fan Heater,,Automatic Shut-Off,Tabletop,,,Does not apply,,,,Unknown,,,Does not apply,,,,,,,,,,Modern,Indoor,Any Room,500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AC 220V, 50Hz",10-20㎡,,,,,,,,,,,,,,,,,,,,,,,,,,"1 x Air Heater, 1 x Manual",500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane Regulator Hose Replacement Outdoor Indoor 12ft For Mr. Heater Big Buddy,45.79, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0313019316384,,,,,Brass,,,,Does not apply,,,Does not apply,,,,,,,,,,313019316384,Black,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy To Use,,,,,,,,,,1.43 Pounds,,,,,,,,,,,,,,,,,,,,,,,,,3 x 11 x 9.87 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"super fast & free, 2 days shipping",,,,,,,,,,,,,,,We solve any problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gift for all,everyday new items,Limited Time Offer,SHOP DIFFERENT,Accept Refund,30 Days,"great, new, Genial, nueva",2-3 Days,Guaranteed,USA,once your order reaches our warehouse we won't be able cancel it,get special offer,"we use global shipping program for ebay, more detail contact me .",add to watchlist and get special offer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMUS H1382 HEATER FAN OSCILLATING THERMOSTAT PORTABLE,46.51, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0630326113827,"Fan, Electric",2,H1382,,Ceramic,,,,Optimus,,,Space Heater,"Dial, Switch",,,,,,,,,630326113827,"White, Multicolor, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEOP1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Choice Oil Filled Radiator Heater OH12. New Open Box. 700W. 110V.,47.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,Oil,,,,,,,,Air Choice,,,,,,110 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3in1 Electric Ceramic Heater Instant ＆ Portable Air Conditioner Mini Cooler Desk,48.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Does not apply,,,,,,Unbranded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillating Portable Ceramic Space Heater Electric Heater with Thermostat Overhe,49.41, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0313024785748,Corded Electric,,,,,,,,Does not apply,,,Does not apply,,,,,,,,,,313024785748,Silver and Black,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 Pounds,,,,,,,,,,,,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTC-905A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,12.01 x 8.62 x 6.97 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater 12-Feet Hose/Regulator Assembly with Restricted Flow Soft Nose P.O.L.,45.17, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Does not apply,,,Does not apply,,,,,,Mr. Heater,,,,,,,Does not apply,,,,,,089301730724,Black,,,,,,0089301730724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Space Heater 1500 Watts EH1-0012 Black Vortex Adjustable Thermostat,49.98,30-day returns, ,,,,,,,,,,,,,,,,,,Vornado,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater 2-Tank Hook-Up Kit With Tee And 30-Inch Hose Assembly With P.O.L. Mal,47.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,07445035687643,,,Does Not Apply,,,,,,Unknown,,,Does not apply,,,,F273737,,,,,,7445042495484,Does Not Apply,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr Heater Corporation,1 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F273737,6 x 78 x 22 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 pounds,22,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cozy Products Cozy Legs 200-Watt Electric Heater Black (CL-2) ,48.4,30-day returns,"['I bought this to keep my dog warm in her Dogglue.   Most heated dog mats look and feel flimsy...hardly the type of thing that will survive daily use.  In addition few are water proof.  I put this under a rug and my dog loves it.  Top of rug just warm.   It is on its second winter of use now and seems just like new.', 'This will not keep your legs warm. Poorly engineered so it is annoying to move around, even slightly. Needs twice the wattage to be of any use whatsoever. Mine arrived so poorly packaged that the box was opened on one end and the fixtures were strewn around my front door. That is a packaging, not a shipping problem.', 'This unit may be good for a small enclosed area such as under a desk. It has no value what so ever for any other purpose, as far as I can tell.  The surface gets very warm but no heat is felt further that about 5"" away.The claim that it uses 1/10 the power of regular space heaters is true.  On the other hand it gives off about 1/20 of the heat.Just be aware, before you buy, that it is not a space heater. If your legs were under a small desk or in a box, it may have some value. I would not recommend it for ANY other application or anything for that matter!  Forget about it.', ""This doesn't put out fabulous amounts of heat.  It does work to keep my feet warm, but the effect is extremely subtle.  One minor niggle is that the power switch is several feet down the power cord from the unit.  It would be more convenient if the power switch was ON the unit.  I would buy this unit again."", 'I bought this vertical leg heater for my wife who spends a lot of time on a laptop. It is positioned under a bench type seat and heats from behind her legs. This removes the chill from her legs and feet quickly. This radiant heat is much better and safer than a space heater in my opinion.', 'I put one between an outside wall and my home-made desk, which is open-sided. After it warmed up the difference was noticeable. The space under the desk gets quite cozy, especially on the side that used to be coldest.. This is much better than using a free-standing heater that can be kicked over.', 'it was junk , had to return it.', ""They barely warm up. Didn't get the job done for me."", ""This radiant heater is perfect for what we're using it for - making the chickens in the coop comfortable at night! Not it's approved use, but it works very well.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",18.98 IN,,,,0.99 IN,,,0706069235215,Electric,1,BIRJ9,2018,Steel,,,,Cozy,,,,Switch,,120 V,512953 CL-2,,,Wall,,,706069235215,"Beige, Blue, Black",,,,No Applicable Warranty,,Does not apply,,,,,,,,,,See Description,,,,,512953 CL-2,,,,,,,,,,,,,See Description,,,,,,,,,,,,,Cozy Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VULCAN TB386A Swaged Cartridge Heater,73W/sq. In.",48.5, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0094704935485,,1,CSH00179,,Steel,,Strip,,Tempco,,,Cartridge Heaters,,,120 V,TB386A,,,,,,0094704935485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taotronics TT-HE009 1500W Electric Portable Patio Remote Control space heater,49.99,30-day returns, ,,,,,,,,,,Electric,3,,,,,,,TaoTronics,,,Portable Heater,Remote Control,Forced Air/Fan,110 V,TT-HE009,,"Auto Shut-off, Timer",Floor,,1001-1500 W,na,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater, 1S Fast Heating Electric Heaters for Indoor Use with 3 Settings, W",48.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0711181886474,Corded Electric,,,,,,,,Does not apply,,,Does not apply,,,,,,,,,,711181886474,Bluish-purple,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
