Title,Price,Sold,Reviews,Condition,Item Depth,Item Width,Energy Efficiency Rating,Tank Capacity,Operating Sound Rating,Energy Efficiency Ratio (EER),Item Length,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Power Source,Number of Heat Settings,MPN,Material,Heating Element Format,Colour,Brand,Heating Element Material,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Area Covered,Features,Mounting Location,Power,Year Manufactured,Country/Region of Manufacture,Manufacturer Warranty,Energy Star,Color,Custom Bundle,Height,UPC,Timer Control,Air Direction,Cable Length,Tonnage,Smart Home Protocol,Power (W),Manufacturer Part Number,Heating Method,Heat Output,Compressive strength,Power deviation,Cable length,Manufacturer Color,Heating Technology,Current Rating,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Wattage (watts),Cord Length (ft),Color Family,Heating Area (sq ft),Outdoor Living Product Type,Fuel Type,Assembled Width (in),Housing Material,Pack Size,Voltage (volts),Product Weight (lb),ISBN,Size,Room Coverage Area,Heating Wattage,Time Control,Refrigerant,Smart Home Compatibility,Room Size,Indoor/Outdoor,Portable Heater Features,Amperage (amps),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Power/Fuel Type,Heater Type,Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Number of Items in Set,Firmness,Product,Department,Mount Type,Style,Room,Assembly Status,Set Includes,Weight,Heating Technology Type,Heating Product Type,Area Heated (Sq. Ft.),Suitable for Safe Rooms,Warranty,Wattage,Application,Certifications,Clearance,Maintained Operational Temperature,Recommended Environment,Remote Control,Product Type,Number of Burners,Is Electric,Assembled Product Dimensions (L x W x H),Count Per Pack,Count,Gender,Price Per Unit UOM,Variant Attribute Names,Number of Shelves,PPU Quantity of Units,Manufacturer,Age Group,Is Portable,Recommended Room,Piece Count,Multipack Quantity,Is Assembly Required,Power Type,Product Name,Home Decor Style,Seating Capacity,Number of Drawers,Global Brand License,Theme,Watts,Depth,Baseboard Heating Type,Certifications and Listings,Hydronic,Product Length (in),Thermostat,Vented,Heat rating (BTU/hour),Thickness,SHIPPING,RETURN,ITEM LOCATION,International buyers,Heating BTU,Location,Bundle Description,Item Height,Heater Style,Original/Facsimile,Author,Voltage / Wattage / Amperage,Poultry Species,Hatching Egg Breed,Built In Thermostat,Clearance to Combustible Materials,Product Color / Weight,Product Dimensions,Programmable Timer,Remote Control / In-Cord Switch,RESTOCK FEE,Item Weight,Power consumption,Product weight,Heater type,Fins width,Package includes,Oil volume,Power supply,Indoor/outdoor,Item model number,Batteries Required?,Country of Origin,Item Dimensions LxWxH,Number of Pieces,Included Components,Modified Item,sku,ProductType,Prop65_fl,Prop65Warning,ProductGroup,ProductTypeName,Recommended Location,Assembled Product Weight,SKU,Form Factor,Heating Element,Maximum Heat Power,Product Model,Timer,Noise Level,Number in Pack,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Assembled Height (Inches),Color/Finish Family,Heat Type,Cord Length (Inches),Use Location,Current Rating (Amps),Assembled Depth (Inches),Cool-Touch Housing,Tip-Over Safety Switch,Safety Listing,Design,Maximum Wattage,Display Type,Lowe's Exclusive,Control Type,Oscillation,ALCI Safety Plug,Energy Saving Setting,Maximum BTUs,Overheat Shut-Off,Manufacturer Color/Finish,Anti-Freeze Setting,Remote Control Included,Portable,Assembled Width (Inches),Supplemental Heating Area,Package Quantity,Series Name,CA Residents: Prop 65 Warning(s),Bundle Listing,Model No.,Accessory Type,Resistance Properties,Brand compatible,Cod. ETCO,Mark,UPC/GTIN Code,Mor Electric Heating SKU,Application/Usage,Area Coverage,Input Current,Input Voltage,Weight (Approximate),Actual Color,Feature,Origin,Patio Heaters Type,Binding,Studio,Publisher,PackageQuantity,NumberOfItems,Label,PackQty,Batteries Required,item_width,Max Weight Recommendation,item_length,Use,Price,Seller,Service,USA Shipping,Customer service,Shipping Exclusions,Number Of Heat Settings,OutOfStockControl,Width,ProductReferenceID,Length,Minimum Heat Power,Product Family,Product Line,Gift,Temperature,Heating power,Waterproof rating,PartNumber,Volume,Warranty Description,Import Designation,Finish Types,Is Discontinued By Manufacturer,Batteries,Material Care Instructions
PATIOBOSS Electric Infrared Patio Heater Outdoor Wall-Mounted Gold Tube Quite...,79.99, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,,Does not apply,Electric,,PHG-1500R,,,,PATIOBOSS,,,,,,,,,,Wall,,,,,,Black,,,Does not apply,,,,,,,PHG-1500R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WAPEMORK Space Heater for Indoor Use - Portable Personal Electric Heaters, Small",79.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Corded Electric,,,,,,Does not apply,,,Does not apply,,,,,,,,,,,,,Black,,,726084419759,,,,,,,,"Radiant, Convection",1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone Electric Patio Heater Adjustable Thermostat Stainless Steel 1500-W,76.95,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,25.25 in,,,,,,,,0075877201911,Electric,,CZPH10,Stainless Steel,,,Comfort Zone,,5120 Btu,Patio Heater,,,,Comfort Zone CZPH10,,,,1001-1500 W,,,,,,,,0075877201911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3In1 Portable Electric Ceramic Fan Space Heater Desktop Mist Humidifier Hot Cold,77.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,6.3 in,,,40-50dB,,17inch,,,,Electric,,Does not apply,"Desk/Tabletop, Floor",,,Unbranded,,,Portable Heater,Push Button,third generation PTC ceramic heating technology,110 V,1,,,"Desk/Tabletop, Floor",25W/500W,2021,China,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Count Tenergy DQ1007 1500w PTC Ceramic Heater With Adjustable Thermostat 120V,79.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,N/A,N/A,,,,,Electric,2,02969,Ceramic,,,Tenergy,Ceramic,,1500w PTC Ceramic Heater,Dial,1500w PTC Ceramic Heater,120 V,DQ1007,,"Adjustable Thermostat, Ceramic",Portable,1001-1500 W,,,,,Black,,,844949029698,,,72 inches Cord Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicone Heating Pad Heater With Controller Thermal 200cm Cable 1200W Electric,76.14,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,Does Not Apply,Silicone rubber,,,Unbranded,,,,,,,Heating Pad,,,,1200W,,,,,Orange,,,,,,,,,,,,,1500v / 5s,± 8%,200 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater MH9BX 9000 BTU Propane Portable Buddy Heater - FREE Shipping,78.99, ,"[""I bought this heater for my small garage workshop. My electric heater kept tripping the breaker while using other equipment. I was afraid of other gas heaters due to their carbon monoxide emissions. This was one of the few gas heaters rated for indoor use. It also has an oxygen depletion detector and tip over cut off feature which I thought was very important.This heater silently keeps my shop warm in even the coldest temperatures and can also be attached to a 20 pound propane tank with an accessory hose ~ which I also purchased. I've run this heater for up to 6 hours uninterrupted with no noticeable fumes and since all the heat is focused out the front, it can be set close to a wall with no worries.I know I'm going to get a lot of use out of this heater. It was a very reasonable price and filled my needs perfectly. Highly recomend the Mr. Heater Buddy for heating small spaces."", 'Here in Monterey County the weather can be colder in the evenings. At my home we cut of the central heating back in ‘88 so we all dress up like eskimos to keep warm. Don’t get me wrong. We do use electric heaters in certain areas but after purchasing this Portable Propane heater, it was Heaven sent. I recommend this product with all my heart. It is compact. It is durable. It is easy to refuel. It is warm to hot. And now, as we speak, the 5 ft extension hose just arrived. When connected from my Gas Buddy to a 20 lb propane tank, I should get at least 24 hrs of constant heat. Thank you for your time. ', 'The last power outage we only had kerosene heaters.  They are big, bulky, heavy, require pouring fuel and the fumes left us wheezing and coughing.  Therefore, we found these Mr. Heater, bought two and what a difference.  Small enough to be moved from room to room and so much safer.  You will love Mr Heater.', ""Small and practical for portable heat when equipped with a disposable bottle, it's even great for a more permanent heat source - just pair this heater up with a hose and a large refillable propane bottle.  It even has a pilot light for easy on and off use.  Two heat settings, 4000 and 9000 BTUs.  The back of the heater stays cool to the touch, so it can be used backed against a wall.  Six stars for this heater."", 'Really nice heater. Relatively easy to operate and has safety features. Heater will not run all night, though with the small propane cylinders. ', ""Love this portable propane heater. Can't wait to take it camping. In the meantime, we use it around the house to warm up and enjoy the heat it produces. If the power goes out, we will stay warm with this heater!"", ""This is a very good product.  What is different about Mr. Heater compared to other small heaters is that it uses 1 lb. propane tanks, thus it does not have to be plugged in or placed near an electrical outlet.  It is easy to use and have a anti tip safety feature that will cut the unit off if the unit is tipped.  Keep on hand a few 1 lb. propane cylinders, and you're good to go.  Very good heater for small spaces and can be used indoors."", 'Great propane heater with 2 settings. I also bought a 12ft hose to connect to a 5 Gallon propane tank. The low setting was enough to warm my 29ft motor home. Perfect.', 'Purchased the additional Mr. Heater 10\' hose (item F273704) that you don\'t have to use a filter and connected it to a 20 lb. bottle of propane.   Easy to light and ran all night on low to keep my greenhouse warm.  I used a 1.5"" PVC water pipe and ran the pipe under the foundation of my greenhouse and then ran the hose through it outside where the tank was located.  For safety reasons, you aren\'t supposed to have the 20 lb. tank inside near the heater.  I cut up an old wash cloth and stuck it inside the pvc pipe to keep bugs and cold air from entering into my greenhouse. So easy to do.  ', 'Product operates exactly as advertised, which nowadays is not always the case. It functions easily and simply. Really like the option to go to larger capacity tank for longer use periods or not having to change out bottles constantly.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,"8.30""",,,Standard,,"13.40""",,,,Propane,,MH9BX,Steel,,,Mr. Heater,,9000 BTU,Portable Heater,Rotary Knob,Radiant,Not Electric,Mr. Heater Buddy MH9BX,,,Floor,N/A,,,,,Red & Black,,,089301321618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dyna-Glo Pro 4800W 240V 16,380 BTU Electric Garage Space Heater EG4800DGP",79.87, , ,,,,,,,,,,,,Electric,2,EG4800DGP,,,,Dyna-Glo,,16000-16999 BTU,,,,240 V,,351-400 sq ft,,,,,,,,Black,,,872076034414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LifeSmart HT1013 1,500 Watt 6 Element Infrared Large Room Space Heater w/ Remote",79.8,30-day returns,"['heats very well, very lightweight, fan is very noisy, has a very annoying high pitch whine.', 'Works great as new but do not know for how long. Lifesmart heaters often do not last long  but are well priced. They certain reduce winter heat billing.', ""Really impressed what's the small unit heats up my room real nice"", 'Heats the room in below freezing temperatures by itself. Not too loud and has good build quality. ', 'Work well at night when wood stove gets low.  Keeps my bedroom toasty ', 'This a great heater!  Set the desired temp and fan speed and forget about it!', 'warmer than most 120 volts 1500-watt heaters that I have owned.', 'Good value, good quality, excellent product. ', 'I think it is better for small rooms. I tried it in my large family room and it didn’t do the trick', 'Have used for a week working fine so far!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",13.58 inches,11.40 in,,,,,13.60 in,,,0817223017780,,3,HT1013,,Infrared,,Life Smart Labs,,5120 BTU,Portable Heater,"Switch, Remote Control, Digital",Infrared,120 V,HT1013,200 sq ft,Timer,Floor,1500W,,Unknown,,,Black,,14.41 inches,0817223017780,,1-Way,,,,,,,,,,,Black,Infrared,10A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,500-Watt Indoor/Outdoor Stainless Steel Electric Patio Heater with Adjustable ",75.29,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,07445007387304,,,,,,,Does not apply,,,Does not apply,,,,,,"Adjustable Thermostat,Water Resistant",,,,,,,,,,7445007387304,,,,,,,,,,,,,,,,5.5 in,Silver,Wall Mount Patio Heaters,No,9 in,5120 Btu,1500 W,5,Metallic,120,Patio Heater,Electric,25.25 in,Stainless Steel,1,120,5.78 lb,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Storm HS-1500-OTR Infrared Heater 1500-watt,79.89,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,Does not apply,,,,Heat Storm,,,,,,,Does not apply,,,,,,,,,Heater Only,,,793573053657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Pro Forced Air Space Heater Propane 40,000 BTU TESTED NICE SEE",75.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,,,,,,Propane,,,,,,All Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Tower Space Heater 25"" 1500W Electric Ceramic Digital Display + Remote",79.66,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,3 quiet settings,,,,,0046013775863,Electric,2,6462,"Ceramic, Plastic, Metal",,,Lasko,,,Tower Heater,"Remote Control, Touch",Ceramic Heater,,6462,,"Handle, Timer, Indoor",,1500 W,,,,,"Silver, Gray",,,0046013775863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LifeSmart 3 Element 1500W Quartz Infrared Electric Portable Room Space Heater,79.99,137 sold,"[""Bought this heater for our main bathroom which isn't used all that often, although when we had our master bathroom remodeled it's all we used. It performs flawlessly. Easy to use and we really enjoy the wireless remote, this convenient feature makes it so easy to regulate, and one of the nicest features of this heater is it heats up very quickly. The digital read outs are also easy to see. And when my spouse uses the controls manually, she has no problems, she also feels it was easy to use and regulate controls. We kept it low until we actually had to use it, and I'm on a walker, so my spouse would go ahead of me, when our master bathroom was being remodeled and turn the heat up a little for my comfort! Now that's priceless! She's an angel too! There's no down-side to owning this heater. It's small enough to be out of the way, and powerful enough to heat like a much bigger heater. It has wheels hidden underneath the carriage, moves in any direction with ease. This is a good all around heater. We have this one and a larger one we use in our master bedroom, and we've owned them for over six months and they both work very nice. And we've notice our heat bill went down almost thirty dollars one month, and we believe these heaters AND having the central house heat turned down lower is the reason. This is in our opinion an all around nice and economical product."", ""I bought this to heat a good sized bedroom. I had an edenpure which worked good but only lasted 2 years. This unit heats my bedroom to 70 no problem. The fan is slightly loud but tolerable. The buttons make a loud beep when pressed so not great if u want to change temp in the middle of the night when the wife is sleeping. It has made little effect on the electric bill. I can't speak to how long it will last bc we have only had it around 3 months but for its compact size it works great and a quarter of the price of the Eden pure"", 'It is winter in Colorado. I have to clean the double car garage, since we are moving.This little heater is great. It heats about an 8 ft area, fighting against the 20 degree cold. It warms enough space for me to pack up the workbench and to move it onto the shelving area.My only complaint is the cord is not very long, I had to dig out the extension cord, then remember not to trip over the extension cord!  I did not notice a significant added cost to my electric bill when I was using it.', 'I purchased the heater because it put out air close to the floor as opposed to similar heaters that push air toward the ceiling.  It warms my living room well on the efficiency setting.  I have not been able to actually determined the electricity usage, but with three heat levels it can be regulated.  It is also small and easy to move to any area where extra heat is needed.  I would recommend this product for the price and quality in this heater.  The remote allows you to change the temperature or turn off the heater from the comfort of your chair and with the heat coming out at floor level, the entire room heats more efficiently.', 'I purchased this to use in our downstairs bathroom to keep my wife and I warm on those cold mornings. It works great. We have always used some kind of space heater but never been able to stay warm as we like it. The LifeSmart heater is great!', 'Nice spot heater for exceptionally cold days here in New England. Well-designed and manufactured. Requires no maintenance. Easy to use remote or front panel controls. Less conspicuous, smaller case than clunky wood-covered heaters, but same performance. Heavy duty industrial gauge cord barely gets warm, while cords on cheaper heaters get uncomfortably hot, even melting. Not the quietest heater, but unit pushes a lot of warm air around. This heater would be great for quickly taking the chill out of a bathroom. Highly recommended.', 'This heater really works well to keep the chill out of our living room. We Baby sit two grandkids several times a week and this heater is safe for them to be around. My only complaint is the fan is a little noisey. But all in all a great little heater. I also do wood working in my garage and purchased a second heater to use in there. Works great. Nice to be warm while working there instead of freezing cold.', ""I was disapointed when I recieved the heater. Very small for the claims. I got the oportunity when our temp dropped to below freezing. My home is only 1000 sq ft. It heated 1/2 of our basement in maybe 10 min to the point that I had to turn it down wearing a t shirt. This isn't my first heated. I have an Eden Pure that has been great until the thermostadt went out after several years service. This one is very small next to the Eden Pure but I think it keeps up with it. I recommend it and would actually like to have a larger one of my garage."", 'Seems to be a top quality heater and very well built. All functions appear to be top notch. I purchased this heater to replace the gas furnace in my RV, and it seems like it will preform as a great replacement. It puts out a tremendous amount of heat, and seems to be very safe. The shell stays cool to the touch. I am very happy with it.', 'had edenpures and these are much better and smaller. don!!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",11 in,9.8 in,,1 gal or Less (5 L),None,3 or Less,7.5 in,,Less Than 80%,0817223010668,Electric,2,LS3ECO,,Coil,,Life Smart Labs,Brass,Less Than 2000 BTU,Unit Heater,"Remote Control, Touch",Infrared,,Lifesmart LS-3ECO,150 ft²,Timer,Cabinet,,2018,Unknown,,,Black,,13.4 in,0817223010668,15 min,1-Way,12.5in.,20 tons or Greater,Infrared,,,,,,,,,,10.1-15 A,,,,,,,,,,,,,,,,,,,,Under 150 sq ft,1500 Watts,12 Hours,HC-12a,ADT Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heater 700-Watt Oil-Filled Radiator White Portable Electric Heating,75.54,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,07445003463453,Electric,Variable,GHM0093,Acrylonitrile Butadiene Styrene (ABS),,,Costway,,,Portable Oil Filled Radiator,,Radiant,,,,,Floor,,,,,,White,,,7445003463453,,,,,,,,,,,,,,,,,,,,,,700,,Whites,,,,,,,120,8.6 lb,Does not apply,,,,,,,Small,Indoor,Handle,5.83 A,160,5.5 in,Dial,Electric,Oil-Filled,Auto Shut Off,14 in,71,12 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
